"Latitude","Longitude"
"18.56468","73.47992"
"18.58473","74.5087"
"18.23467","74.44125"
"18.02137","74.99953"
"17.56836","73.67467"
"18.07158","74.95996"
"18.13105","74.68221"
"17.98812","74.5231"
"18.5889","74.54835"
"17.68521","73.89232"
"18.43802","74.53289"
"17.88101","73.76624"
"18.03468","73.34118"
"18.88361","73.65653"
"17.79386","74.02789"
"18.76069","73.53819"
"17.69706","73.3421"
"17.93478","74.05625"
"18.7238","73.69175"
"18.76415","74.24871"
"19.11863","73.56898"
"18.33581","73.90101"
"19.10856","75.07113"
"17.77501","74.66766"
"18.02577","74.20341"
"19.14734","73.88434"
"17.6503","74.57418"
"18.47635","74.41805"
"18.17775","74.01341"
"17.66321","74.2906"
"18.81614","73.33717"
"17.85058","74.03435"
"17.88588","73.86109"
"17.53033","73.43402"
"18.55181","74.69589"
"18.28393","74.96174"
"18.10975","73.53419"
"18.22844","74.76747"
"17.76817","74.20482"
"18.06829","75.00506"
"17.9133","73.81247"
"18.56367","73.36122"
"18.22807","73.32092"
"17.62454","73.4481"
"18.53221","73.86975"
"18.34453","73.4819"
"18.81942","74.36827"
"17.75759","73.75808"
"18.18233","74.40755"
"18.35603","74.61627"
"17.93477","74.28311"
"17.80941","74.3417"
"17.76954","74.27431"
"18.28054","74.91372"
"17.86538","74.12253"
"18.6461","74.9081"
"18.74209","74.18837"
"19.12712","74.56982"
"17.84854","75.13724"
"18.33877","73.33406"
"18.74092","73.64809"
"18.03808","73.53825"
"17.70292","74.20871"
"17.65737","73.79053"
"18.63232","73.9864"
"18.2047","73.38398"
"18.50341","73.98027"
"19.04839","75.06736"
"18.12091","73.32576"
"17.9646","74.66326"
"18.68947","74.64639"
"17.88285","74.73798"
"19.0895","74.08276"
"17.82929","74.40656"
"18.48301","74.65766"
"18.46119","73.75356"
"18.91714","73.78338"
"17.86675","73.88991"
"18.39455","74.83559"
"18.49977","74.046"
"17.97693","73.43351"
"18.09831","74.95369"
"17.56938","73.54186"
"18.65796","73.64583"
"18.00596","74.9814"
"18.89916","73.60457"
"18.82121","74.73172"
"18.74327","74.04867"
"17.57351","75.12696"
"19.03428","75.10697"
"18.03247","73.41728"
"18.32159","74.71837"
"18.33842","74.88541"
"18.28642","74.8184"
"17.63352","73.67714"
"17.53293","73.78336"
"18.24235","74.01817"
"18.49669","74.52801"
"18.4953","73.68229"
"18.73135","74.78733"
"18.87517","74.48668"
"18.46912","74.99865"
"18.32239","73.4159"
"17.78113","74.82423"
"18.13637","75.06105"
"18.13307","73.68014"
"18.10019","73.5198"
"17.7453","74.09631"
"18.17655","74.12795"
"17.9302","74.68432"
"17.53298","74.98013"
"17.75803","73.50997"
"18.24976","74.51853"
"18.35711","73.50411"
"18.76198","73.63253"
"17.74147","74.46472"
"17.82844","74.77662"
"18.26716","74.31373"
"18.22518","75.10452"
"19.04371","74.06703"
"19.19955","74.43071"
"17.70976","74.56636"
"18.45016","74.09806"
"19.1666","73.78159"
"17.53252","73.64281"
"17.98335","73.39054"
"17.52858","73.76239"
"19.07711","75.05904"
"18.26436","73.89254"
"18.79035","74.00766"
"17.53704","74.17937"
"17.85396","73.81707"
"17.86296","74.93509"
"18.52927","74.34304"
"18.34202","73.65678"
"18.96955","74.13775"
"17.85754","75.10006"
"17.77975","73.74183"
"19.01691","74.49236"
"18.36506","74.8743"
"18.90471","73.78837"
"19.00094","74.68106"
"17.68903","74.57937"
"18.55275","74.15335"
"17.52438","74.35872"
"17.85094","74.89811"
"17.81112","74.29721"
"18.08114","73.34575"
"17.58975","73.71405"
"17.81168","74.42438"
"17.66896","73.34455"
"18.46841","74.55691"
"19.06285","73.86419"
"18.43766","73.81695"
"17.90732","74.3412"
"18.43786","75.01528"
"17.90848","74.79651"
"18.47275","74.46193"
"17.91828","73.37822"
"18.94862","73.76205"
"18.62586","74.00925"
"18.97093","73.9316"
"18.69924","75.13527"
"17.5081","74.30077"
"19.06215","74.608"
"17.81349","74.17553"
"18.7418","73.39894"
"18.0814","73.95607"
"18.11979","73.76614"
"17.74478","74.75459"
"18.92441","74.64782"
"19.16057","74.19246"
"18.86774","75.04614"
"17.57728","74.30915"
"18.41924","74.28056"
"18.38352","75.13111"
"17.53796","73.52741"
"17.64977","73.60233"
"18.45114","74.23424"
"17.757","74.71919"
"18.67313","74.33598"
"18.80898","75.10655"
"17.92492","74.63677"
"18.00444","74.89945"
"18.37821","74.66464"
"19.14533","73.94768"
"18.08313","75.08653"
"18.0586","74.6396"
"18.22088","73.74258"
"17.99535","74.86875"
"18.27601","74.25546"
"17.64119","74.85498"
"17.5154","73.97305"
"18.54858","74.63074"
"18.26345","74.17311"
"17.61349","75.12851"
"18.69662","74.46481"
"18.63443","74.47512"
"18.16226","74.79913"
"19.07339","74.18996"
"18.35791","74.61601"
"17.6104","74.43634"
"18.99619","74.03522"
"17.67335","74.69099"
"17.57079","74.34581"
"18.14008","73.97835"
"18.5676","75.15859"
"18.07479","74.86471"
"18.0896","73.90099"
"17.83828","73.638"
"18.01446","73.32594"
"18.96605","73.37744"
"17.58967","73.3957"
"18.77338","74.06852"
"18.56028","74.24186"
"17.50359","73.91449"
"18.92489","74.83272"
"18.66033","74.92566"
"17.51639","74.63036"
"18.24834","74.73814"
"18.9827","74.99151"
"17.99463","73.62901"
"18.26937","74.13565"
"18.61102","74.10297"
"18.99328","73.9596"
"18.08342","74.79911"
"17.58306","74.61477"
"18.05693","74.93151"
"17.86801","74.24044"
"19.08221","74.3023"
"18.55882","74.12756"
"18.37183","74.22465"
"18.6773","74.98994"
"18.83761","75.09229"
"18.30043","74.01199"
"18.79385","74.80158"
"17.82746","73.73893"
"18.79191","73.63802"
"18.57549","73.50933"
"19.03006","73.41696"
"18.34094","75.06496"
"18.03121","74.23718"
"19.09139","74.56867"
"18.69226","74.87759"
"17.5537","74.02994"
"18.44101","74.60923"
"17.72338","73.58552"
"17.80797","74.98261"
"18.9596","74.79811"
"18.57213","74.71168"
"18.4322","74.13192"
"19.02572","73.60652"
"18.03415","73.81144"
"18.73453","74.86556"
"17.50213","74.31589"
"18.7659","75.05446"
"18.76966","73.94164"
"18.50878","74.63986"
"18.03224","74.32847"
"18.10638","73.4439"
"17.68694","74.32758"
"17.88113","74.29832"
"18.285","73.91967"
"18.69519","73.96777"
"18.56807","73.6499"
"17.82491","74.55278"
"18.35532","73.75823"
"18.42369","73.63649"
"18.51208","73.52894"
"18.17749","73.87915"
"18.22689","74.72806"
"18.05048","74.20214"
"17.8946","73.7648"
"18.85858","73.57035"
"18.47501","74.82876"
"18.54839","74.18218"
"18.44582","73.66376"
"19.08762","73.7747"
"18.27013","73.90246"
"17.51201","73.97379"
"17.54264","74.97196"
"18.4344","74.68965"
"18.03347","73.38857"
"18.68248","74.48062"
