"Latitude","Longitude"
"17.22636","74.50778"
"10.43972","75.05928"
"14.10607","74.93202"
"12.27428","74.74592"
"16.01979","74.39966"
"11.73789","73.36682"
"13.43299","75.16624"
"16.78295","74.62209"
"17.88929","74.85813"
"15.53026","74.37864"
"14.59478","73.84584"
"11.33189","74.33634"
"15.65344","73.45377"
"16.36608","73.48755"
"13.40667","73.49458"
"13.8123","73.95642"
"13.1115","74.41607"
"17.28991","73.72768"
"12.08894","73.75061"
"12.89764","74.21682"
"12.17621","73.58833"
"10.43588","74.31494"
"11.29828","75.09517"
"11.61759","73.46369"
"15.64353","74.33805"
"14.50942","74.99635"
"13.75535","73.56457"
"14.12813","74.36009"
"11.68676","74.8447"
"11.47555","74.9257"
"12.98872","73.71611"
"14.2854","74.34274"
"15.29054","74.52626"
"10.71917","74.82237"
"12.53629","74.18404"
"13.34694","74.45176"
"12.3988","74.07174"
"13.4885","73.96321"
"12.72587","73.82939"
"10.91033","73.50503"
"14.0724","73.72796"
"12.65914","73.3337"
"10.41542","73.89587"
"11.02164","74.49001"
"12.94305","73.79974"
"14.84547","73.62674"
"16.02317","74.87383"
"14.08574","73.83832"
"11.45925","74.24043"
"17.76281","73.62319"
"11.1358","73.96294"
"16.05408","73.93412"
"12.75449","73.49461"
"17.58286","73.62014"
"14.40241","73.46995"
"16.81546","74.30754"
"16.86411","75.1221"
"13.3275","73.91135"
"10.43004","74.51634"
"16.91369","73.45485"
"11.21563","74.84123"
"17.25909","74.68841"
"14.76903","74.18027"
"11.53576","74.25991"
"17.26629","74.86116"
"15.8329","73.35779"
"11.90608","74.13614"
"12.95045","73.83256"
"14.14983","73.76347"
"15.47062","74.95868"
"16.38203","74.40792"
"11.69828","75.00144"
"15.83463","75.13743"
"11.27871","73.70589"
"13.53187","74.99498"
"15.80101","74.16269"
"14.15655","74.05589"
"11.77712","73.81644"
"17.03866","74.40812"
"17.74674","74.78848"
"17.67659","73.57584"
"17.36713","74.39443"
"15.75816","74.76217"
"13.98368","73.40876"
"11.6382","75.08128"
"16.74958","74.3564"
"15.30103","74.25573"
"12.60811","73.86075"
"17.66557","74.32961"
"11.45063","75.04259"
"15.36402","75.06906"
"11.00398","73.48061"
"15.81524","73.62633"
"17.07222","74.64549"
"11.5248","73.74775"
"17.52709","73.77"
"13.57691","75.03404"
"10.46108","73.32462"
"14.32236","74.18947"
"10.87064","73.61877"
"11.76071","73.47646"
"17.70539","74.30393"
"14.66748","75.03089"
"17.66418","74.24731"
"13.17861","73.55173"
"16.36383","74.92535"
"12.73347","74.08556"
"13.56025","73.43941"
"13.49606","74.85162"
"14.52698","74.76992"
"13.65589","73.40679"
"11.55657","74.62169"
"11.69199","73.44885"
"17.49016","74.27703"
"10.73926","74.70825"
"13.12155","75.01323"
"12.10425","74.03036"
"15.51512","73.41109"
"16.53111","73.44947"
"10.58158","73.75246"
"17.30503","74.84629"
"11.65315","74.75981"
"13.96597","74.02356"
"15.28236","74.44311"
"16.8094","75.14763"
"14.90219","74.64757"
"14.13757","73.9365"
"10.42869","73.38988"
"10.997","74.9529"
"14.23722","74.24892"
"17.07657","73.61452"
"16.38194","74.08293"
"13.44026","74.46028"
"17.88423","74.41734"
"10.54861","73.84969"
"14.2649","73.50198"
"16.85926","74.5374"
"14.37147","75.08358"
"12.54668","73.57963"
"10.73556","73.57315"
"15.68548","74.34392"
"14.7221","74.18081"
"12.80662","73.44291"
"11.27274","74.08953"
"10.80019","73.94374"
"13.15513","73.75717"
"13.54401","74.36369"
"16.34611","74.39053"
"16.58429","74.06214"
"15.24168","74.45784"
"12.17522","74.53473"
"11.47436","73.96568"
"17.76301","73.52502"
"16.03996","74.35133"
"15.40803","74.06436"
"11.7198","74.52725"
"17.32513","73.58823"
"16.99929","74.48195"
"15.78566","73.8804"
"14.66601","75.07225"
"16.90855","74.76739"
"15.79649","74.76584"
"17.88331","73.96785"
"15.2761","73.62764"
"11.001","74.73584"
"14.15831","73.64594"
"11.10537","74.4589"
"10.90365","74.93641"
"16.9631","73.65011"
"13.72547","74.54283"
"16.09495","73.86539"
"11.25062","73.56396"
"15.06341","73.78765"
"13.48741","74.45196"
"15.59992","73.68737"
"10.87426","73.97175"
"17.80597","73.57164"
"14.27622","74.53391"
"15.40114","73.49601"
"12.78174","73.43603"
"15.33873","75.02822"
"17.19219","74.837"
"10.95869","73.98466"
"15.49172","73.5465"
"12.86034","73.68202"
"17.75534","75.11434"
"11.01696","73.63163"
"14.98248","74.25551"
"15.67475","75.16182"
"13.21178","73.5113"
"13.455","73.93304"
"12.61718","73.58302"
"16.2712","74.71017"
"17.66586","74.77014"
"12.31381","73.92925"
"12.61913","74.85556"
"11.07023","74.18278"
"16.87873","73.94728"
"11.659","74.95502"
"15.1834","74.31075"
"17.83338","74.6234"
"15.31582","73.6356"
"13.17875","75.12748"
"11.72219","73.68812"
"15.94509","73.80219"
"16.45611","73.55957"
"15.65976","73.69209"
"16.56976","74.09552"
"16.43514","74.61329"
"13.24463","74.79795"
"13.38292","73.99185"
"15.67256","73.43223"
"17.64287","74.71923"
"14.40863","75.09357"
"12.66757","75.00378"
"11.51598","73.92524"
"17.73617","75.14928"
"14.41541","74.89418"
"14.4197","74.87729"
"12.57956","73.82579"
"15.56347","74.7655"
"14.03716","75.08778"
"12.2324","74.27145"
"11.53158","74.51034"
"16.78742","74.41501"
"14.81414","74.35676"
"11.0118","73.34015"
"13.54924","74.93258"
"14.58319","73.86369"
"12.43962","74.30925"
"17.67234","75.0972"
"16.23912","73.72747"
"15.63334","74.35087"
"12.53395","73.45772"
"12.16276","74.03972"
"14.30396","74.71646"
"17.6378","74.98715"
"10.6902","73.52436"
"16.56489","73.52543"
"14.04833","74.74069"
"16.37842","74.92509"
"17.10023","74.20414"
"15.50337","73.61453"
"15.1742","73.74866"
"11.46437","74.97116"
"12.13093","74.37899"
"16.73348","73.76416"
"10.56396","73.35418"
"10.77795","74.57096"
"12.10348","74.20484"
"13.51352","74.72184"
"12.25825","73.80522"
"11.53782","75.13345"
"16.32496","73.53909"
"17.13993","74.64059"
"11.99337","73.41117"
"15.93808","73.98264"
"12.02631","73.43895"
"17.37546","73.67682"
"14.56453","75.05163"
"15.06637","74.64166"
"10.70107","74.86941"
"12.15438","73.53043"
"13.86911","75.02009"
"12.48086","73.90965"
"12.93136","73.65605"
"14.11561","74.11942"
"15.60656","73.83129"
"16.76701","73.63074"
"14.77902","74.87356"
"14.07501","74.13015"
"10.9395","74.14531"
"13.32973","73.51575"
"17.28064","73.814"
"11.06876","74.43754"
"16.44934","73.73151"
"10.99881","74.64876"
"14.3789","73.9706"
"11.23729","74.23166"
"12.90647","74.38212"
"17.0352","74.45584"
"14.75324","74.01281"
"15.50149","74.21284"
"14.83356","74.73733"
"17.05783","74.14637"
"13.62501","74.29141"
"15.56108","73.82108"
"17.45422","74.82058"
"11.35866","74.97139"
"15.33771","74.93854"
"17.30061","74.47549"
"17.24298","73.32191"
"15.68742","74.83515"
"17.38923","74.80524"
"15.60426","75.15912"
"12.59383","73.50232"
"14.80823","74.19093"
"13.12946","74.86364"
"12.0714","74.13859"
"16.66893","73.59756"
"14.95918","74.1789"
"16.00526","74.80876"
"16.85362","74.49324"
"10.73477","74.46307"
"16.90358","74.35852"
"11.41016","75.1427"
"15.90107","74.44778"
"14.73119","75.08814"
"14.2697","74.27859"
"12.20664","74.80842"
"10.79854","74.16365"
"16.55608","74.60209"
"14.02691","75.12446"
"10.529","74.84685"
"14.58349","74.91881"
"15.40903","74.05421"
"12.67321","73.81896"
"11.89499","74.39785"
"14.22363","74.9054"
"12.27141","73.3538"
"15.31371","74.48912"
"14.0712","73.37198"
"11.44389","74.76308"
"16.84162","73.83286"
"14.89634","73.3756"
"16.07671","73.42012"
"11.11701","74.28188"
"13.28145","74.16043"
"13.66025","74.88838"
"13.8168","74.01905"
"12.72186","74.17639"
"11.72228","74.44133"
"11.65819","74.07718"
"15.69381","75.12307"
"11.95049","74.33365"
"17.67298","74.10812"
"15.62985","74.07407"
"11.33512","73.99095"
"15.87887","74.07907"
"11.9449","73.66656"
"16.49246","73.48383"
"16.30391","73.95604"
"12.13207","74.75109"
"12.85041","74.14571"
"11.81584","73.8224"
"12.44417","74.77764"
"17.23736","74.0117"
"12.24795","74.71158"
"17.50534","74.16462"
"12.99697","73.76226"
"14.89657","73.33527"
"12.94035","74.93488"
"14.92488","73.66333"
"16.50528","74.50711"
"13.29698","74.56303"
"13.57082","74.598"
"15.56819","73.3773"
"16.00985","74.24332"
"16.1856","75.00253"
"16.42918","74.2463"
"12.92194","74.55833"
"16.87521","74.53107"
"11.70302","73.86465"
"16.42836","74.92512"
"11.74405","74.43494"
"16.22145","74.68541"
"16.61942","74.2092"
"14.29837","74.91834"
"16.99696","73.50812"
"11.4387","74.80702"
"15.11249","74.51728"
"10.87941","73.49691"
"10.52166","75.09555"
"10.55313","74.55668"
"12.37599","73.45054"
"14.16903","73.91274"
"14.40514","74.67876"
"14.5032","73.71662"
"16.81363","73.80312"
"14.33977","74.31356"
"11.12599","74.24155"
"16.30255","75.12502"
"15.06549","74.81313"
"13.26127","74.26257"
"10.46495","75.08187"
"17.59521","73.71734"
"14.88719","73.67527"
"16.42105","75.11891"
"14.77004","74.03499"
"13.97429","74.1919"
"15.83415","73.71142"
"10.98094","73.35659"
"12.96801","74.66245"
"12.75407","74.52684"
"14.4932","75.03819"
"15.14003","73.95616"
"14.1686","73.46908"
"17.65795","73.94305"
